Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
DK,-31%,+4%,+50%,-52%,-23%,+8%
Capital Region of Denmark,-44%,+1%,+38%,-60%,-27%,+9%
Central Denmark Region,-32%,+3%,+28%,-48%,-24%,+9%
North Denmark Region,-27%,+5%,+8%,-49%,-21%,+9%
Region Zealand,-11%,+9%,+157%,-41%,-18%,+7%
Region of Southern Denmark,-24%,+7%,+63%,-49%,-20%,+8%
