Goverment Unit,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
BE,-79%,-25%,-20%,-60%,-47%,+20%
Brussels,-86%,-39%,-6%,-71%,-57%,+22%
Flanders,-76%,-18%,-17%,-56%,-45%,+19%
Wallonia,-81%,-33%,-37%,-61%,-47%,+21%
