X,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplace,Residential
USDelaware,-41%,-16%,+26%,-48%,-37%,+14%
Kent County,-35%,-16%,+9%,-24%,-35%,+13%
New Castle County,-44%,-19%,+32%,-50%,-39%,+15%
Sussex County,-40%,-9%,-9%,-46%,-35%,+13%
